artifact_id	parent_corpus_database_id	artifact_role	file_name	local_path	sha256	byte_size	gap_reason	candidate_recovery_route	notes
source_artifact_8c70a68a4e9c1be3	github:ying531/awesome-replicability-data	source_access_metadata	landing_probe.json	data/raw/replication_projects/lead_harvest/awesome_body_dissatisfaction/landing_probe.json	69d2dc8d88e62c328633e32f97ce0f3520f79cc3571d8dc3ae04af7df8557948	452	access_metadata_sidecar	recreated as access records by rehydrate script where matching working URL exists	generated_from_inventory_task=inventory_task_03a7818d0f17ec39; cluster_id=cluster_emdr_and_misinformation_3fe9f9e46e27
source_artifact_6a16ec4e76abba85	github:ying531/awesome-replicability-data	source_access_metadata	github_01_download.json	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_01_download.json	24516231c672ebed7067e5b8bc467e8edb4c5ed192cf84fdc21f87aa620f2413	726	access_metadata_sidecar	recreated as access records by rehydrate script where matching working URL exists	generated_from_inventory_task=inventory_task_03a7818d0f17ec39; cluster_id=cluster_emdr_and_misinformation_3fe9f9e46e27
source_artifact_087bff72ec8cc615	github:ying531/awesome-replicability-data	source_access_metadata	github_02_download.json	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_02_download.json	3a78f4b25287b6e1b05a35d741f757527c994444220ab46ee8683d903fe966c1	727	access_metadata_sidecar	recreated as access records by rehydrate script where matching working URL exists	generated_from_inventory_task=inventory_task_03a7818d0f17ec39; cluster_id=cluster_emdr_and_misinformation_3fe9f9e46e27
source_artifact_e5ea56e80900e157	github:ying531/awesome-replicability-data	source_access_metadata	github_03_download.json	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_03_download.json	0c80931298a7b176879ef4adbdb5003a22899fc5dd6996e74cfb3c5f6504dfc4	736	access_metadata_sidecar	recreated as access records by rehydrate script where matching working URL exists	generated_from_inventory_task=inventory_task_03a7818d0f17ec39; cluster_id=cluster_emdr_and_misinformation_3fe9f9e46e27
source_artifact_66c2b8fdb3bc00a3	github:ying531/awesome-replicability-data	source_access_metadata	github_04_download.json	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_04_download.json	8e8e6db933fb7200fa9e404894bc0a4c9632e8c9e7c56976e12d255ec494eea5	737	access_metadata_sidecar	recreated as access records by rehydrate script where matching working URL exists	generated_from_inventory_task=inventory_task_03a7818d0f17ec39; cluster_id=cluster_emdr_and_misinformation_3fe9f9e46e27
source_artifact_eaf8c3db027046d7	github:ying531/awesome-replicability-data	source_access_metadata	landing_probe.json	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/landing_probe.json	76a4df0898716c5bc417bc9467bcf0cc46e7c6890efafbc814059884cb9b74b8	449	access_metadata_sidecar	recreated as access records by rehydrate script where matching working URL exists	generated_from_inventory_task=inventory_task_03a7818d0f17ec39; cluster_id=cluster_emdr_and_misinformation_3fe9f9e46e27
source_artifact_d7e2bf54d3b89fbd	github:ying531/awesome-replicability-data	source_access_metadata	raw_download.json	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/raw_download.json	47102adb048cb0ac7528d0550b715fba0c0da3e09a6c0d844bbffc7a0de3f275	731	access_metadata_sidecar	recreated as access records by rehydrate script where matching working URL exists	generated_from_inventory_task=inventory_task_03a7818d0f17ec39; cluster_id=cluster_emdr_and_misinformation_3fe9f9e46e27
source_artifact_915b64d803ad349b	github:ying531/awesome-replicability-data	source_access_metadata	raw_probe.json	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/raw_probe.json	5bb207c75689a1b38657c5a5e96e4006b45f9d5584ac2fce444960c5d5be2c38	612	access_metadata_sidecar	recreated as access records by rehydrate script where matching working URL exists	generated_from_inventory_task=inventory_task_03a7818d0f17ec39; cluster_id=cluster_emdr_and_misinformation_3fe9f9e46e27
source_artifact_d98bc7e490ca6c97	github:ying531/awesome-replicability-data	source_access_metadata	landing_probe.json	data/raw/replication_projects/lead_harvest/awesome_climate_misinfo/landing_probe.json	7b8260ea9877314c1bbad4951f97a990391543a00c89200ed04688f78415fd98	447	access_metadata_sidecar	recreated as access records by rehydrate script where matching working URL exists	generated_from_inventory_task=inventory_task_03a7818d0f17ec39; cluster_id=cluster_emdr_and_misinformation_3fe9f9e46e27
source_artifact_d02c9eb27f22219e	github:ying531/awesome-replicability-data	source_access_metadata	github_01_download.json	data/raw/replication_projects/lead_harvest/awesome_emdr_misinfo/github_01_download.json	50d7c7a25ca7252cd62ab23411a0c2c430c09ae65d9afb0358fc51499396d45b	698	access_metadata_sidecar	recreated as access records by rehydrate script where matching working URL exists	generated_from_inventory_task=inventory_task_03a7818d0f17ec39; cluster_id=cluster_emdr_and_misinformation_3fe9f9e46e27
