run_id	probe_id	surface	query	expected_route	found_expected_replication	top_titles_json	raw_output_path	notes
2026-05-05_individual_replication_vast_search_batch001	facial_feedback_strack_wagenmakers	openalex	Registered Replication Report Strack Martin Stepper Strack Martin Stepper 1988	strict_figure1a	false	"[""Replicability, Robustness, and Reproducibility in Psychological Science"", ""A Conceptual Introduction to Bayesian Model Averaging"", ""The generalizability crisis"", ""Reproducibility of preclinical animal research improves with heterogeneity of study samples"", ""Informed Bayesian <i>t</i>-Tests""]"	steps/searches/figure1/individualrepsearch_api_batch001/raw/openalex/recall_facial_feedback_strack_wagenmakers_openalex.json	
2026-05-05_individual_replication_vast_search_batch001	facial_feedback_strack_wagenmakers	crossref	Registered Replication Report Strack Martin Stepper Strack Martin Stepper 1988	strict_figure1a	false	"[""Reflection on the Smiling Registered Replication Report"", ""Proprioceptive determinants of emotional and nonemotional feelings."", ""Nachruf auf Martin Irle"", ""Effect of stepper lens operating conditions on proximity effects in DUV optical lithography down to 250nm"", ""Simulating the Arm Movements of a Stepper Motor Controlled Pick-and-Place Robot Using the Stepper Motor Model""]"	steps/searches/figure1/individualrepsearch_api_batch001/raw/crossref/recall_facial_feedback_strack_wagenmakers_crossref.json	
2026-05-05_individual_replication_vast_search_batch001	verbal_overshadowing_schooler_alogna	openalex	Registered Replication Report Schooler Schooler Engstler-Schooler verbal overshadowing	d_equivalent_figure1b	false	"[""On the Applied Implications of the \u201cVerbal Overshadowing Effect\u201d"", ""The generalizability crisis"", ""Verbal overshadowing at an immediate Task-Test delay is independent of Video-Task delay"", ""The interplay of language and visual perception in working memory"", ""Language and memory for object location""]"	steps/searches/figure1/individualrepsearch_api_batch001/raw/openalex/recall_verbal_overshadowing_schooler_alogna_openalex.json	
2026-05-05_individual_replication_vast_search_batch001	verbal_overshadowing_schooler_alogna	crossref	Registered Replication Report Schooler Schooler Engstler-Schooler verbal overshadowing	d_equivalent_figure1b	false	"[""Verbal overshadowing of visual memories: Some things are better left unsaid"", ""Turning the Lens of Science on Itself"", ""Skimming the Surface"", ""Whom do words hurt? Individual differences in susceptibility to verbal overshadowing"", ""Whom do words hurt? Individual differences in susceptibility to verbal overshadowing""]"	steps/searches/figure1/individualrepsearch_api_batch001/raw/crossref/recall_verbal_overshadowing_schooler_alogna_crossref.json	
2026-05-05_individual_replication_vast_search_batch001	ego_depletion_hagger	openalex	Multilab Preregistered Replication Ego-Depletion Sripada Kessler Jonides ego depletion	strict_figure1a	true	"[""A Multilab Preregistered Replication of the Ego-Depletion Effect"", ""Reverse ego-depletion: Acts of self-control can improve subsequent performance in Indian cultural contexts."", ""Self-reports from behind the scenes: Questionable research practices and rates of replication in ego depletion research"", ""Social preferences and self-control"", ""Searching for the bottom of the ego well: failure to uncover ego depletion in Many Labs 3""]"	steps/searches/figure1/individualrepsearch_api_batch001/raw/openalex/recall_ego_depletion_hagger_openalex.json	
2026-05-05_individual_replication_vast_search_batch001	ego_depletion_hagger	crossref	Multilab Preregistered Replication Ego-Depletion Sripada Kessler Jonides ego depletion	strict_figure1a	true	"[""Commentary: A Multilab Preregistered Replication of the Ego-Depletion Effect"", ""Extending a Multilab Preregistered Replication of the Ego-Depletion Effect to a Research Program"", ""Again, No Evidence for or Against the Existence of Ego Depletion: Opinion on \u201cA Multi-Site Preregistered Paradigmatic Test of the Ego Depletion Effect\u201d"", ""If ego depletion cannot be studied using identical tasks, it is not ego depletion"", ""Does willpower mindset really moderate the ego-depletion effect? A preregistered replication of Job, Dweck, and Walton (2010)""]"	steps/searches/figure1/individualrepsearch_api_batch001/raw/crossref/recall_ego_depletion_hagger_crossref.json	
2026-05-05_individual_replication_vast_search_batch001	power_posing_ranehill	openalex	Assessing the Robustness of Power Posing Carney Cuddy Yap power posing	strict_figure1a	false	"[""On doing better science: From thrill of discovery to policy implications"", ""On doing relevant and rigorous experiments: Review and recommendations"", ""A Bayesian model-averaged meta-analysis of the power pose effect with informed and default priors: the case of felt power"", ""Overdoing Gender: A Test of the Masculine Overcompensation Thesis"", ""Interpersonal Power""]"	steps/searches/figure1/individualrepsearch_api_batch001/raw/openalex/recall_power_posing_ranehill_openalex.json	
2026-05-05_individual_replication_vast_search_batch001	power_posing_ranehill	crossref	Assessing the Robustness of Power Posing Carney Cuddy Yap power posing	strict_figure1a	true	"[""Power Posing"", ""Preparatory power posing affects nonverbal presence and job interview performance."", ""Power Posing \u00dcbungen in pferdegest\u00fctzten Coachings"", ""\u201cPreparatory power posing affects nonverbal presence and job interview performance\u201d: Correction to Cuddy et al. (2015)."", ""Assessing the Robustness of Power Posing""]"	steps/searches/figure1/individualrepsearch_api_batch001/raw/crossref/recall_power_posing_ranehill_crossref.json	
2026-05-05_individual_replication_vast_search_batch001	goal_priming_harris	openalex	Goal Priming and the Remoteness of Goals Bargh automated will goal priming	strict_figure1a	false	"[""When prevention promotes creativity: The role of mood, regulatory focus, and regulatory closure."", ""Positive Affect Versus Reward: Emotional and Motivational Influences on Cognitive Control"", ""More Memory Bang for the Attentional Buck"", ""Self-esteem regulation after success and failure to attain unconsciously activated goals"", ""Unconscious Motives and Actions \u2013 Agency, Freedom and Responsibility""]"	steps/searches/figure1/individualrepsearch_api_batch001/raw/openalex/recall_goal_priming_harris_openalex.json	
2026-05-05_individual_replication_vast_search_batch001	goal_priming_harris	crossref	Goal Priming and the Remoteness of Goals Bargh automated will goal priming	strict_figure1a	false	"[""Automatic activation of impression formation and memorization goals: Nonconscious goal priming reproduces effects of explicit task instructions."", ""Seven Principles of Goal Activation: A Systematic Approach to Distinguishing Goal Priming From Priming of Non-Goal Constructs"", ""Narratives and Goals"", ""Effects of Goal Priming and Motive-Goal Congruence on Goal-Related Dreaming"", ""Unconscious Control of Voluntary Task Choice Through Achievement-Goal VS. Fun-Goal Priming""]"	steps/searches/figure1/individualrepsearch_api_batch001/raw/crossref/recall_goal_priming_harris_crossref.json	
