manifest_path	name	record_kind	inventory_status	new_to_baseline_manifest	landing_url	source_key	why_relevant	next_action
steps/searches/figure1/corporasearch-alternate-vocab-expanded-reproduction-reanalysis-validation-followup.json	Compilation of Diener et al. (2010) OSF Multi-Site Replication Projects	candidate_corpus_or_database	discovered_search_lead	yes	https://osf.io/qdx7p/	qdx7p	"Matched Figure 1 domain search query '""multi-site"" replication dataset original'; lead_classification=corpus_database_or_project_signal; score=20; reasons=strong_phrase:replication project | strong_phrase:multi-site replication | data_term:data | data_term:dataset | data_term:osf | replication_word | original_word | repository_data_surface | metadata_corpus_signal"	triage_landing_page_or_package_for_pair_table
steps/searches/figure1/corporasearch-alternate-vocab-expanded-reproduction-reanalysis-validation-followup.json	Social Exclusion Multi-Site Replication Study	candidate_corpus_or_database	discovered_search_lead	yes	https://osf.io/wdc9q/	wdc9q	"Matched Figure 1 domain search query '""multi-site"" replication dataset original'; lead_classification=corpus_database_or_project_signal; score=19; reasons=strong_phrase:multi-site replication | pair_term:original effect | pair_term:effect size | pair_term:sample size | replication_word | original_word | effect_or_sample_size_phrase | metadata_corpus_signal"	triage_landing_page_or_package_for_pair_table
steps/searches/figure1/corporasearch-alternate-vocab-expanded-reproduction-reanalysis-validation-followup.json	Social Exclusion Multi-Site Replication Study	candidate_corpus_or_database	discovered_search_lead	yes	https://osf.io/v5s6d/	v5s6d	"Matched Figure 1 domain search query '""multi-site"" replication dataset original'; lead_classification=corpus_database_or_project_signal; score=9; reasons=strong_phrase:multi-site replication | replication_word | metadata_corpus_signal"	triage_landing_page_or_package_for_pair_table
steps/searches/figure1/corporasearch-alternate-vocab-expanded-reproduction-reanalysis-validation-followup.json	Investigating the reproducibility of the social and behavioural sciences	candidate_corpus_or_database	needs_triage_search_lead	yes	https://doi.org/10.31222/osf.io/wqt9u_v1	https://openalex.org/W7147135541	"Matched Figure 1 domain search query '""reproduction dataset"" ""original study""'; lead_classification=corpus_database_or_project_signal; score=6; reasons=pair_term:original effect | data_term:data | data_term:dataset | original_word"	triage_landing_page_or_package_for_pair_table
steps/searches/figure1/corporasearch-bibliographic-expanded-replication-corpus-database.json	Probabilistic forecasting of replication studies	candidate_corpus_or_database	discovered_search_lead	no	https://doi.org/10.1371/journal.pone.0231416	https://openalex.org/W3016766501	"Matched Figure 1 bibliographic search query '""large-scale replication"" ""original study""'; lead_classification=corpus_database_or_project_signal; score=28; reasons=strong_phrase:replication project | strong_phrase:large-scale replication | strong_phrase:replication studies | pair_term:original study | pair_term:original studies | pair_term:replication effect | data_term:data | replication_word | original_word | metadata_corpus_signal"	triage_landing_page_or_package_for_pair_table
steps/searches/figure1/corporasearch-bibliographic-expanded-replication-corpus-database.json	Challenges and suggestions for defining replication “success” when effects may be heterogeneous: Comment on Hedges and Schauer (2019).	candidate_corpus_or_database	discovered_search_lead	yes	https://doi.org/10.1037/met0000223	https://openalex.org/W2979112662	"Matched Figure 1 bibliographic search query '""replication project"" ""original study"" ""effect size""'; lead_classification=corpus_database_or_project_signal; score=23; reasons=strong_phrase:replication project | strong_phrase:replication studies | pair_term:original study | pair_term:effect size | data_term:data | data_term:dataset | data_term:database | replication_word | original_word | metadata_corpus_signal"	triage_landing_page_or_package_for_pair_table
steps/searches/figure1/corporasearch-bibliographic-expanded-replication-corpus-database.json	Linguistic Compression Predicts Replication Failure	candidate_corpus_or_database	discovered_search_lead	yes	https://doi.org/10.17605/osf.io/cpe6f	https://openalex.org/W7148330249	"Matched Figure 1 bibliographic search query '""replication project"" ""coded data""'; lead_classification=corpus_database_or_project_signal; score=22; reasons=strong_phrase:replication project | strong_phrase:reproducibility project | strong_phrase:many labs | data_term:data | data_term:code | data_term:osf | replication_word | metadata_corpus_signal"	triage_landing_page_or_package_for_pair_table
steps/searches/figure1/corporasearch-bibliographic-expanded-replication-corpus-database.json	Variation and Covariation in Large-Scale Replication Projects: An Evaluation of Replicability	candidate_corpus_or_database	discovered_search_lead	yes	https://doi.org/10.1080/01621459.2022.2054816	https://openalex.org/W4221046810	"Matched Figure 1 bibliographic search query '""large-scale replication"" ""original study""'; lead_classification=corpus_database_or_project_signal; score=19; reasons=strong_phrase:replication project | strong_phrase:large-scale replication | pair_term:original study | data_term:supplement | replication_word | original_word | metadata_corpus_signal"	triage_landing_page_or_package_for_pair_table
steps/searches/figure1/corporasearch-bibliographic-expanded-replication-corpus-database.json	Comparing Meta-Analyses and Pre-Registered Multiple Labs Replication Projects	candidate_corpus_or_database	discovered_search_lead	yes	https://doi.org/10.31219/osf.io/brzwt	https://openalex.org/W4229834291	"Matched Figure 1 bibliographic search query '""replication project"" ""original study"" ""effect size""'; lead_classification=corpus_database_or_project_signal; score=17; reasons=strong_phrase:replication project | pair_term:original studies | pair_term:replication effect | pair_term:effect size | replication_word | original_word | metadata_corpus_signal"	triage_landing_page_or_package_for_pair_table
steps/searches/figure1/corporasearch-bibliographic-expanded-replication-corpus-database.json	Does high variability training improve the learning of non-native phoneme contrasts over low variability training? A replication	candidate_corpus_or_database	discovered_search_lead	yes	https://doi.org/10.1016/j.jml.2022.104352	https://openalex.org/W4285585316	"Matched Figure 1 bibliographic search query '""large-scale replication"" ""original study""'; lead_classification=corpus_database_or_project_signal; score=13; reasons=strong_phrase:large-scale replication | pair_term:original studies | replication_word | original_word | metadata_corpus_signal"	triage_landing_page_or_package_for_pair_table
