family_name	expected_yield	expected_noise	recommended_gate	queries
source-object terminology gate	medium	medium	Promote only if landing page has downloadable dataset, database, workbook, table, codebook, file inventory, or source-family page with multiple rows.	replication database original | replication workbook effect size | replicability codebook original study | reproducibility file inventory replication | replication master data original | replication source data effect
large collaborative project terminology	high	medium	Promote project pages and collections; route single papers to individual-paper worklist unless they expose a multi-row artifact.	many labs replication data | many-lab replication | multi-lab replication effect | multi-site replication original | multicenter replication original | collaborative replication OSF
reproduction and robustness terminology	high	high	Classify as repository package unless new-data replication or explicit original-vs-follow-up effect rows exist.	computational reproducibility robustness replication package | robustness reproducibility original analyses | reproduced original analyses robustness checks | reanalysis replication original study | reproduction replication effect size | same data different analysis replicability
claim verification and credibility assessment	medium	medium	Promote only if claims are linked to source papers and repeatability evidence; otherwise context only.	claim database replicability | claim verification scientific replication | research claims robustness replicability | credibility scores research claims replication | SCORE claims replicability | repliCATS claims dataset
challenge and benchmark venues	high	medium	Treat venue/challenge group as source family; route individual reports separately unless extracting normalized rows.	reproducibility challenge original paper | replication report OpenReview | NeurIPS reproducibility challenge report | ICLR reproducibility challenge code | benchmark replicability published claims | ReplicatorBench SCORE
field-specific biomedical validation	medium	high	Reject DNA/RNA/viral/cell replication; require study-level original target plus independent reproduction/replication evidence.	preclinical replication original effect | target validation reproducibility published data | biomedical multicenter replication | reproducibility initiative biomedical replication | real-world evidence reproducibility robustness | healthcare database direct replication
journal and gateway routes	medium	high	If a collection enumerates papers only, route collection as source-family lead and papers as individual worklist; require reusable data for corpus promotion.	replication studies journal collection | registered replication report data | replication section journal | special issue replication data | Preclinical Reproducibility and Robustness | Royal Society Open Science replication studies
repository package disambiguation	high	high	If title is only replication data/files/package for an original paper and no independent replication is described, route to repository package or context, not corpus.	replication data for replication study | replication files for replication study | data and code for replication original | supplementary data replication effect size | analysis data reproducibility initiative | replication package replicability
non-English replication terminology	medium	medium	Require project/source-object evidence and translate descriptions before classification.	reprodutibilidade replicabilidade dados | replicacion base de datos estudio original | reproduccion robustez articulos | replication reproductibilite base de donnees | Reproduzierbarkeit Replikation Daten | replicatieonderzoek data
funder and registry routes	medium	medium	Project or grant records become manual investigation until linked to completed outputs, data, or publications.	replication studies funded project database | replication research grant results | replication studies programme results | funder replication dataset | registered report replication registry | OSF Registries replication registered report
legacy and dead source recovery	low	medium	Use Wayback/CDX only to recover source-family pages or file links; do not promote archived text without corroboration.	replication database Wayback | CurateScience replication | ReplicationWiki archive | socialsciencesreplicationproject data | File Drawer replication database | PsychFileDrawer replication
