batch_id	cluster_id	decision	confidence	preferred_source_family_name	parent_corpus_database_id_or_key	route_target	needs_source_family_inventory	needs_root_candidate_review	needs_result_table_worklist	needs_individual_paper_worklist	context_only	terminal_for_cluster_review	source_count	lead_level_note_count	receipt_path	reason	next_action	sources_checked_json
clustered004	cluster_emdr_and_misinformation_3fe9f9e46e27	inventory_source_family_artifacts	high	ying531/awesome-replicability-data	github:ying531/awesome-replicability-data	source_family_artifact_inventory	true	false	false	false	false	false	5	1	steps/review_cue/figure1_search_leads/cluster_receipts/clustered004/cluster_emdr_and_misinformation_3fe9f9e46e27.json	Cluster aliases point to one reusable GitHub source family plus several dataset-level downloads. The checked repository is an explicit curated collection of publicly available original-replication datasets and cleaned data/code artifacts; the local EMDR, lie-language, cleanliness-moral, and mindbody self-centrality hits are child artifacts, not separate root source families.	Inventory these files under the existing GitHub source-family row; attach cleaned CSVs, processing scripts, download metadata, and repository manifests as child artifacts, without creating separate root rows for each pair dataset.	"[""web:https://github.com/ying531/awesome-replicability-data"", ""web:https://github.com/ying531/repDiagnosis"", ""local:data/raw/replication_projects/lead_harvest/awesome_emdr_misinfo/"", ""local:data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/"", ""local:data/raw/replication_projects/lead_harvest/awesome_mindbody_selfcentrality/""]"
clustered004	cluster_meta_regression_to_explain_shrinkage_and_heterogeneity_in_large_scale_replicatio_40dfdd112362	keep_source_family_candidate	medium	Heyard and Held heterogeneity_in_replication_projects code/data repository	zenodo:15552808	corpora_update_proposal_then_source_family_inventory	true	true	false	false	false	false	4	1	steps/review_cue/figure1_search_leads/cluster_receipts/clustered004/cluster_meta_regression_to_explain_shrinkage_and_heterogeneity_in_large_scale_replicatio_40dfdd112362.json	The cluster is not just an isolated article hit: checked sources show an article/preprint plus a Zenodo/GitLab code-and-data repository for analyses of original-replication study-pairs in large-scale replication projects. The repository is a reusable source object, but its internal files still need inventory before any table-level integration.	Keep as a source-family candidate keyed to the Zenodo/GitLab repository; inspect the zip/file inventory for reusable study-pair or effect-size tables, then map any RPP/RPEE-derived child tables to their originating project parents where appropriate.	"[""web:https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0327799"", ""web:https://zenodo.org/records/15552808"", ""web:https://doi.org/10.31222/osf.io/e9nw2_v3"", ""web:https://gitlab.uzh.ch/rachel.heyard/heterogeneity_in_replication_projects""]"
clustered004	cluster_original_effects_srull_9b8f8fe2c740	route_cluster_to_result_table_worklist	high	Registered Replication Report on Srull and Wyer (1979)	raw_replication_project:rrr	result_table_worklist	false	false	true	false	false	false	4	1	steps/review_cue/figure1_search_leads/cluster_receipts/clustered004/cluster_original_effects_srull_9b8f8fe2c740.json	This is an individual Registered Replication Report/meta-analysis cluster, not a corpus/database source family. It does contain apparent result-table artifacts for Srull/Wyer plus analysis code, so it belongs in result-table review under the RRR project rather than corpus-source intake.	Route original_effects_srull.csv and the Srull/Wyer Rmd to the result-table worklist under the RRR/McCarthy 2018 parent; reject generated RStudio notebook cache CSVs as source-family evidence and split the Hagger metaanalysis hit if reviewed separately.	"[""web:https://journals.sagepub.com/doi/10.1177/2515245918777487"", ""web:https://research.lancaster-university.uk/en/publications/registered-replication-report-on-srull-and-wyer-1979/"", ""local:data/raw/replication_projects/lead_harvest/rrr_mccarthy_2018/"", ""local:data/raw/replication_projects/rrr/srull_all_labs/""]"
clustered004	cluster_osf_03_import_original_data_36bc7619dc58	route_cluster_to_individual_replication_paper_worklist	medium	online_image_credibility OSF replication package	lead_harvest:online_image_credibility	individual_replication_paper_worklist	false	false	false	true	false	false	5	1	steps/review_cue/figure1_search_leads/cluster_receipts/clustered004/cluster_osf_03_import_original_data_36bc7619dc58.json	The compact evidence shows a single OSF-harvested replication package with an import script, README, download metadata, and OSF file inventory. It does not yet show an explicit reusable multi-row source-family table or corpus/database page, so route away from corpus intake.	Send to the individual replication-paper worklist; inspect README and OSF file inventory only if paper-level/result-table extraction is needed, but do not create a source-family root from these filenames alone.	"[""local:data/raw/replication_projects/lead_harvest/online_image_credibility/osf_03_download.json"", ""local:data/raw/replication_projects/lead_harvest/online_image_credibility/osf_03__import_original_data.r"", ""local:data/raw/replication_projects/lead_harvest/online_image_credibility/osf_04__README.Rmd"", ""local:data/raw/replication_projects/lead_harvest/online_image_credibility/osf_file_list.csv"", ""local:data/raw/replication_projects/lead_harvest/online_image_credibility/osf_manifest.json""]"
clustered004	cluster_osf_03_rp_cb_final_analysis_paper_level_data_46a453806c4e	inventory_source_family_artifacts	high	Reproducibility Project: Cancer Biology (RP:CB) final analysis data	raw_corpus:rpcb	source_family_artifact_inventory	true	false	false	false	false	false	4	1	steps/review_cue/figure1_search_leads/cluster_receipts/clustered004/cluster_osf_03_rp_cb_final_analysis_paper_level_data_46a453806c4e.json	The cluster is a coherent OSF final-analysis package for RP:CB, with paper-, experiment-, and effect-level data plus dictionaries and study scripts. RP:CB is an existing reusable corpus/source family, so these are child artifacts of that parent rather than new source families.	Attach the OSF e5nvr final-analysis tables, dictionaries, and per-study R scripts to raw_corpus:rpcb; deduplicate against the local rpcb corpus-candidate copies in the sibling RPCB cluster.	"[""web:https://osf.io/e5nvr/"", ""web:https://www.cos.io/rpcb"", ""web:https://elifesciences.org/collections/9b1e83d1/reproducibility-project-cancer-biology"", ""local:data/raw/replication_projects/lead_harvest/rpcb_e5nvr/""]"
clustered004	cluster_replication_pair_source_catalog_0445b9a39ac0	keep_cluster_as_context	high	internal replication_pair_source_catalog	data/derived/replication_pairs/replication_pair_source_catalog.csv	context_only	false	false	false	false	true	true	2	1	steps/review_cue/figure1_search_leads/cluster_receipts/clustered004/cluster_replication_pair_source_catalog_0445b9a39ac0.json	This cluster is an internal derived catalog/report, not an external dataset, database, repository, registry, or source-family landing page. It can support provenance decisions but should not be ingested as a source-family candidate.	Keep for mapping/provenance context only; do not add it to corpus/database intake and do not edit root tables from this review.	"[""local:data/derived/replication_pairs/replication_pair_source_catalog.csv"", ""local:reports/corpus_candidates/replication_pair_source_catalog.md""]"
clustered004	cluster_rpcb_elife_registered_report_replication_effects_e5397aaa137f	inventory_source_family_artifacts	high	Reproducibility Project: Cancer Biology (RP:CB) final analysis data	raw_corpus:rpcb	source_family_artifact_inventory	true	false	false	false	false	false	3	1	steps/review_cue/figure1_search_leads/cluster_receipts/clustered004/cluster_rpcb_elife_registered_report_replication_effects_e5397aaa137f.json	The cluster is the local raw-corpus side of the same RP:CB source family. It contains reusable final-analysis tables and dictionaries for paper, experiment, and effect levels; the included/raw RPCB parent should own these duplicates and child artifacts.	Deduplicate duplicate root-table and search-manifest hits, then inventory the effect-, experiment-, and paper-level CSVs and dictionaries under raw_corpus:rpcb; do not create new root rows for individual CSV files.	"[""web:https://www.cos.io/rpcb"", ""web:https://elifesciences.org/collections/9b1e83d1/reproducibility-project-cancer-biology"", ""local:data/raw/corpus_candidates/rpcb/""]"
clustered004	cluster_score_cos_preregistration_indicated_original_papers_2a2876c57850	inventory_source_family_artifacts	high	Systematizing Confidence in Open Research and Evidence (SCORE) data/code/materials	score	source_family_artifact_inventory	true	false	false	false	false	false	5	1	steps/review_cue/figure1_search_leads/cluster_receipts/clustered004/cluster_score_cos_preregistration_indicated_original_papers_2a2876c57850.json	SCORE is an existing reusable source family with openly available data/code/materials. The cluster contains child data tables, an OSF manifest, and an included preregistration-indicated subset; these should be owned by the broader SCORE parent, with the subset kept as an included derived corpus view.	Inventory orig_outcomes, repli_outcomes, repro_prereg-check, and OSF manifest/meta files under the SCORE parent; preserve the existing score_cos_preregistration_indicated_original_papers subset row and avoid duplicate root creation.	"[""web:https://www.cos.io/score"", ""web:https://www.cos.io/score-evidence"", ""web:https://osf.io/10.17605/OSF.IO/DTZX4"", ""local:data/raw/corpus_candidates/score/"", ""local:data/derived/effect_inflation_dataset/plot3_preregistered_source_catalog.csv""]"
clustered005	cluster_004_codebook_8eae1835c41b	route_cluster_to_result_table_worklist	medium	PSA004 Accelerated CREP Turri/Buckwalter/Blouw replication package	lead_harvest:psa_004_turri	result_table_worklist	false	false	true	false	false	false	2	3	steps/review_cue/figure1_search_leads/cluster_receipts/clustered005/cluster_004_codebook_8eae1835c41b.json	The OSF/PSA004 cluster contains a workbook codebook and an article-table reconstruction CSV with original_n/replication_n query evidence. That is enough to route the specific table/codebook artifacts for result-table review, but not enough to create a broader corpus/database row from file titles alone.	Route psa004_turri_article_table_reconstruction.csv, with 004_codebook.xlsx as supporting documentation, to the result-table worklist under lead_harvest:psa_004_turri; keep the pretest script as contextual code unless inspection shows it generates a reusable table.	"[""cluster compact nodes for lead_harvest:psa_004_turri"", ""OSF page for PSA004 Accelerated CREP Turri/Buckwalter/Blouw showing 004_codebook.xlsx""]"
clustered005	cluster_create_studydetails_815faf854db4	route_cluster_to_result_table_worklist	high	Experimental Economics Replication Project (EERP)	raw_replication_project:eerp	result_table_worklist	false	false	true	false	false	false	3	3	steps/review_cue/figure1_search_leads/cluster_receipts/clustered005/cluster_create_studydetails_815faf854db4.json	The cluster consists of EERP child artifacts used to derive study details/effect-standardization fields, not a separate corpus. These should be processed as result-table/source artifacts under EERP.	Route create_studydetails.do, effectstandardization.py, and rpp_data.csv to the result-table/code-derived table worklist under raw_replication_project:eerp; extract only fields supported by inspected code/data, not by filenames alone.	"[""cluster compact nodes for raw_replication_project:eerp"", ""CRAN ReplicationSuccess RProjects documentation for EERP source files and OSF pnwuz"", ""Pawel/Held supplement text describing EERP extraction from create_studydetails.do and effectstandardization/effectdata files""]"
