source_result_id	old_level	proposed_level	decision	status	paperclip_result_id	paperclip_query	paperclip_search_output_path	paperclip_results_csv_path	known_title_or_target	known_url_or_doi	match_basis	matched_title	matched_authors	matched_id	matched_source	matched_date	matched_url	matched_abstract	candidate_count	top_candidate_titles
sr_362d2e514afe	3	4	promote_to_4_paperclip_abstract	searched	s_24709463	"""Effects of procedural and distributive justice on reactions to a selection system."" OR ""10.1037//0021-9010.79.5.691"""	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_362d2e514afe_Effects_of_procedural_and_distributive_j.search.txt	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_362d2e514afe_Effects_of_procedural_and_distributive_j.results.csv	Effects of procedural and distributive justice on reactions to a selection system.	https://doi.org/10.1037//0021-9010.79.5.691	doi_exact	Effects of procedural and distributive justice on reactions to a selection system.	Stephen W. Gilliland	2015045186	abstracts	1994-10-01	https://doi.org/10.1037/0021-9010.79.5.691	Procedural and distributive justice were examined in an employee selection situation. Along procedural justice dimensions, job relatedness of and explanation offered for the selection procedures were 	9	Effects of procedural and distributive justice on reactions to a selection system. | Towards just planning: on the relationship between procedural and distributive justice in local development actions | Navigating justice: Examining the intersection of procedural and distributive justice in environmental impact assessment in Puerto Rico
sr_307943984453	2	2	not_promoted	searched	s_e854e2b6	"""The Meaningfulness of Effect Sizes in Psychological Research"" ""schaefer_2019_np_SOC.079"""	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_307943984453_schaefer_2019_np_SOC.079.search.txt	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_307943984453_schaefer_2019_np_SOC.079.results.csv		https://doi.org/10.3765/plsa.v4i1.4501									10	Leveling Up Learning: Exploring Meaningful Gamification in Psychology Courses | Empirically derived guidelines for effect size interpretation in social psychology | LGBT employees in state agencies and their creation of psychological meaningfulness
sr_e89d75ebfd8e	2	2	not_promoted	searched	s_c2451e26	"""The Meaningfulness of Effect Sizes in Psychological Research"" ""schaefer_2019_np_CLI.064"""	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_e89d75ebfd8e_schaefer_2019_np_CLI.064.search.txt	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_e89d75ebfd8e_schaefer_2019_np_CLI.064.results.csv		https://doi.org/10.1158/1557-3265.ovcasymp18-tmim-064									10	Leveling Up Learning: Exploring Meaningful Gamification in Psychology Courses | The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases | LGBT employees in state agencies and their creation of psychological meaningfulness
sr_b2348504f69b	2	2	not_promoted	searched	s_0299a34c	"""Publication bias in psychology: A closer look at the correlation between sample size and effect size"" ""linden_2018_1"""	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_b2348504f69b_Linden_Study_2_random-paper_row_Year_20.search.txt	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_b2348504f69b_Linden_Study_2_random-paper_row_Year_20.results.csv	Linden Study 2 random-paper row: Year 2018 Paper 1										9	Challenging the N-Heuristic: Effect size, not sample size, predicts the replicability of psychological science | Beyond Increasing Sample Sizes: Optimizing Effect Sizes in Neuroimaging Research on Individual Differences | Publication Bias in Psychology: A Diagnosis Based on the Correlation between Effect Size and Sample Size
sr_21fe810427f5	3	4	promote_to_4_paperclip_abstract	searched	s_95c8469a	"""An interview approach to work sample criterion measurement."" OR ""10.1037//0021-9010.77.4.453"""	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_21fe810427f5_An_interview_approach_to_work_sample_cri.search.txt	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_21fe810427f5_An_interview_approach_to_work_sample_cri.results.csv	An interview approach to work sample criterion measurement.	https://doi.org/10.1037//0021-9010.77.4.453	doi_exact	An interview approach to work sample criterion measurement.	Jerry W. Hedge	2063032527	abstracts	1992-08-01	https://doi.org/10.1037/0021-9010.77.4.453	A variety of measurement techniques have been used to assess job proficiency, including hands-on work sample tests, job knowledge tests, and ratings. The current research effort examined the viability	10	An interview approach to work sample criterion measurement. | Experimental demonstration of the criterion for the prepare-and-measure nonclassicality | Evaluating interview criterion‐related validity for distinct constructs: A meta‐analysis
sr_1c71871780ff	3	4	promote_to_4_paperclip_abstract	searched	s_10bca659	"""DEVELOPMENT OF THE “GETTING READY FOR YOUR NEXT JOB” INVENTORY FOR UNEMPLOYED INDIVIDUALS"" OR ""10.1111/j.1744-6570.2010.01177.x"""	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_1c71871780ff_DEVELOPMENT_OF_THE_GETTING_READY_FOR_YO.search.txt	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_1c71871780ff_DEVELOPMENT_OF_THE_GETTING_READY_FOR_YO.results.csv	DEVELOPMENT OF THE “GETTING READY FOR YOUR NEXT JOB” INVENTORY FOR UNEMPLOYED INDIVIDUALS	https://doi.org/10.1111/j.1744-6570.2010.01177.x	doi_exact	DEVELOPMENT OF THE “GETTING READY FOR YOUR NEXT JOB” INVENTORY FOR UNEMPLOYED INDIVIDUALS	Connie R. Wanberg	2065146952	abstracts	2010-05-12	https://doi.org/10.1111/j.1744-6570.2010.01177.x	This article describes the development of a self‐administered inventory to provide unemployed job seekers of varying education levels and backgrounds with insight into their job search. The inventory 	10	DEVELOPMENT OF THE “GETTING READY FOR YOUR NEXT JOB” INVENTORY FOR UNEMPLOYED INDIVIDUALS | Employability and career beliefs inventory: a brief version for unemployed persons | Contextual and personal resources in unemployed job search: An intra‐individual perspective
sr_3e576eaeee38	2	2	not_promoted	searched	s_4aad530c	"""The Meaningfulness of Effect Sizes in Psychological Research"" ""schaefer_2019_np_MUL.077"""	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_3e576eaeee38_plot2_schaefer_2019_np_MUL.077.search.txt	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_3e576eaeee38_plot2_schaefer_2019_np_MUL.077.results.csv		https://doi.org/10.5860/choice.37sup-077									10	Leveling Up Learning: Exploring Meaningful Gamification in Psychology Courses | The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases | LGBT employees in state agencies and their creation of psychological meaningfulness
sr_5adb462eb079	3	3	not_promoted_doi_mismatch_paperclip_title_hit	searched	s_711cdfee	"""Developing and testing a taxonomy of lateness behavior."" OR ""10.1037/0021-9010.79.6.959"""	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_5adb462eb079_Developing_and_testing_a_taxonomy_of_lat.search.txt	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_5adb462eb079_Developing_and_testing_a_taxonomy_of_lat.results.csv	Developing and testing a taxonomy of lateness behavior.	https://doi.org/10.1037/0021-9010.79.6.959	doi_mismatch_known_10.1037/0021-9010.79.6.959_matched_10.5465/ambpp.1993.10315314	DEVELOPING AND TESTING A TAXOMONY OF LATENESS BEHAVIOR.	Gary Blau	2321162546	abstracts	1993-08-01	https://doi.org/10.5465/ambpp.1993.10315314	Three categories of lateness behavior (Voluntary Type 1, Voluntary Type 2, and Involuntary) are defined and tested using two samples, 353 hospital employees and 402 bank employees. Each category exhib	10	DEVELOPING AND TESTING A TAXOMONY OF LATENESS BEHAVIOR. | VisTaxa: Developing a Taxonomy of Historical Visualizations | Creating a Phenotype and Taxonomy of Nurses Engaging in Innovative Behaviors
sr_644891607462	2	2	not_promoted	searched	s_a6e444f8	"""The Meaningfulness of Effect Sizes in Psychological Research"" ""schaefer_2019_np_CLI.046"""	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_644891607462_plot2_schaefer_2019_np_CLI.046.search.txt	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_644891607462_plot2_schaefer_2019_np_CLI.046.results.csv		https://doi.org/10.1088/1126-6708/2001/11/046									10	Leveling Up Learning: Exploring Meaningful Gamification in Psychology Courses | The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases | LGBT employees in state agencies and their creation of psychological meaningfulness
sr_1eb547defd9c	2	2	not_promoted	searched	s_8bac9c25	"""The Meaningfulness of Effect Sizes in Psychological Research"" ""schaefer_2019_preg_25"""	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_1eb547defd9c_plot2_schaefer_2019_preg_25.search.txt	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_1eb547defd9c_plot2_schaefer_2019_preg_25.results.csv		https://doi.org/10.1080/13540602.2018.1532407									10	Leveling Up Learning: Exploring Meaningful Gamification in Psychology Courses | The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases | LGBT employees in state agencies and their creation of psychological meaningfulness
