attempt_id	source_id	access_id	attempt_group_id	attempt_order	resolver_name	resolver_version	resolver_strategy	candidate_rank	candidate_rank_reason	candidate_url	candidate_url_source	final_url	host	method	http_status	redirect_chain	cache_key	cache_hit_yn	retry_count	retry_after_seconds	content_type_header	content_type_sniffed	byte_count	sha256	local_path	source_byte_class	access_status	access_barrier	abstract_or_detail_text	paywall_or_login_seen	captcha_or_bot_block_seen	preprint_or_repository_candidate	license_url	license_category	storage_allowed	robots_status	tdm_policy_status	title_match_score	doi_match_score	author_year_match_score	identity_decision	identity_decision_reason	retrieval_method	retrieved_at	retrieved_by	decision	decision_reason	stop_reason	next_action	notes
att_76cb9a2f102e	src_du2024	acc_21c181e8fd7f	ag_fb5b361275d3	1	stable_url	pilot_backfill_v1	stable_url	1	Seeded from existing source_access row; not a full resolver-ranked candidate.		source_access.tsv			local_file_check			ba763829462f	true	0			csv	116679598	b41c171dad525c18cd25b9df1429a9590282e9cb91fbcf606b72ef00d7222af1	data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv	dataset_file	local_file_found			false	false	false		unknown	true	not_checked	unknown				needs_review	Pilot backfill did not rerun candidate identity scoring.	existing_local_file		preexisting_pipeline_or_unknown	source_object_mirrored	Attempt has a local or downloaded value-bearing source object.	success	parse_or_verify	Generated from source_access rows for the 300-row pilot; future resolver runs should add one row per candidate route.
att_207dbdddba2f	src_ying2023pilot	acc_72aa8e244eab	ag_4ceab620f48d	1	stable_url	pilot_backfill_v1	stable_url	1	Seeded from existing source_access row; not a full resolver-ranked candidate.		source_access.tsv			local_file_check			3a58406ee69d	true	0			csv	9809	132f4777c0b9137f9eac23ca45d60435820cbfa4565439f091d1022c11094dc3	data/derived/replication_pairs/harvest/staged/ying_2023_partial_reconstruction__stage.csv	dataset_file	local_file_found			false	false	false		unknown	true	not_checked	unknown				needs_review	Pilot backfill did not rerun candidate identity scoring.	existing_local_file		preexisting_pipeline_or_unknown	manual_review	Bytes exist but level-5 eligibility is not yet established.	needs_review	classify_source_object	Generated from source_access rows for the 300-row pilot; future resolver runs should add one row per candidate route.
att_ff9b09f977cd	src_tyner2026	acc_257dfff88ee0	ag_1f8bd769b45f	1	stable_url	pilot_backfill_v1	stable_url	1	Seeded from existing source_access row; not a full resolver-ranked candidate.		source_access.tsv			local_file_check			7ab1c0f74dc4	true	0			csv	9921908	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	data/derived/corpus_candidates/candidate_d_n_papers.csv	dataset_file	local_file_found			false	false	false		unknown	true	not_checked	unknown				needs_review	Pilot backfill did not rerun candidate identity scoring.	existing_local_file		preexisting_pipeline_or_unknown	manual_review	Bytes exist but level-5 eligibility is not yet established.	needs_review	classify_source_object	Generated from source_access rows for the 300-row pilot; future resolver runs should add one row per candidate route.
att_751db69c80ad	src_bosco2020metabus	acc_b2a8ef9c99e9	ag_37c2380a41b5	1	stable_url	pilot_backfill_v1	stable_url	1	Seeded from existing source_access row; not a full resolver-ranked candidate.		source_access.tsv			local_file_check			2a586322f9ed	true	0			csv	9921908	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	data/derived/corpus_candidates/candidate_d_n_papers.csv	dataset_file	local_file_found			false	false	false		unknown	true	not_checked	unknown				needs_review	Pilot backfill did not rerun candidate identity scoring.	existing_local_file		preexisting_pipeline_or_unknown	manual_review	Bytes exist but level-5 eligibility is not yet established.	needs_review	classify_source_object	Generated from source_access rows for the 300-row pilot; future resolver runs should add one row per candidate route.
att_349b6905e49d	src_schaefer2019meaningfulness	acc_f06c7be1da8f	ag_1fe8d1e97be8	1	stable_url	pilot_backfill_v1	stable_url	1	Seeded from existing source_access row; not a full resolver-ranked candidate.		source_access.tsv			local_file_check			a8794369d2e3	true	0			csv	9921908	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	data/derived/corpus_candidates/candidate_d_n_papers.csv	dataset_file	local_file_found			false	false	false		unknown	true	not_checked	unknown				needs_review	Pilot backfill did not rerun candidate identity scoring.	existing_local_file		preexisting_pipeline_or_unknown	manual_review	Bytes exist but level-5 eligibility is not yet established.	needs_review	classify_source_object	Generated from source_access rows for the 300-row pilot; future resolver runs should add one row per candidate route.
att_678b71ef2910	src_yengo2022	acc_bf7a03953cc7	ag_0f3624166a25	1	stable_url	pilot_backfill_v1	stable_url	1	Seeded from existing source_access row; not a full resolver-ranked candidate.		source_access.tsv			local_file_check			4d77e41eb35f	true	0			csv	9921908	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	data/derived/corpus_candidates/candidate_d_n_papers.csv	dataset_file	local_file_found			false	false	false		unknown	true	not_checked	unknown				needs_review	Pilot backfill did not rerun candidate identity scoring.	existing_local_file		preexisting_pipeline_or_unknown	manual_review	Bytes exist but level-5 eligibility is not yet established.	needs_review	classify_source_object	Generated from source_access rows for the 300-row pilot; future resolver runs should add one row per candidate route.
att_e29deac979fc	src_tosh2024	acc_31f42dbf57b1	ag_1fb1a9e77df5	1	stable_url	pilot_backfill_v1	stable_url	1	Seeded from existing source_access row; not a full resolver-ranked candidate.		source_access.tsv			local_file_check			4c356d65e582	true	0			csv	1546005	dc666693fdaa9f58f0b1101f835dd9a33da3522ef78d4f2a50dd7e99d179de46	data/derived/replication_pairs/replication_pairs_all_on_hand.csv	dataset_file	local_file_found			false	false	false		unknown	true	not_checked	unknown				needs_review	Pilot backfill did not rerun candidate identity scoring.	existing_local_file		preexisting_pipeline_or_unknown	manual_review	Bytes exist but level-5 eligibility is not yet established.	needs_review	classify_source_object	Generated from source_access rows for the 300-row pilot; future resolver runs should add one row per candidate route.
att_c9d3b93445d5	src_internalplot2replicationpairoriginalsbridge	acc_e144aa086fbd	ag_cb6290ce3d72	1	stable_url	pilot_backfill_v1	stable_url	1	Seeded from existing source_access row; not a full resolver-ranked candidate.		source_access.tsv			local_file_check			1acae8c1c4aa	true	0			csv	9921908	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	data/derived/corpus_candidates/candidate_d_n_papers.csv	dataset_file	local_file_found			false	false	false		unknown	true	not_checked	unknown				needs_review	Pilot backfill did not rerun candidate identity scoring.	existing_local_file		preexisting_pipeline_or_unknown	manual_review	Bytes exist but level-5 eligibility is not yet established.	needs_review	classify_source_object	Generated from source_access rows for the 300-row pilot; future resolver runs should add one row per candidate route.
att_393c3caca5d0	src_du2024	acc_1783c4826f15	ag_fb5b361275d3	2	stable_url	pilot_backfill_v1	stable_url	2	Seeded from existing source_access row; not a full resolver-ranked candidate.		source_access.tsv			local_file_check			7124041cd499	true	0			csv	9921908	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	data/derived/corpus_candidates/candidate_d_n_papers.csv	dataset_file	local_file_found			false	false	false		unknown	true	not_checked	unknown				needs_review	Pilot backfill did not rerun candidate identity scoring.	existing_local_file		preexisting_pipeline_or_unknown	manual_review	Bytes exist but level-5 eligibility is not yet established.	needs_review	classify_source_object	Generated from source_access rows for the 300-row pilot; future resolver runs should add one row per candidate route.
att_74db45b306ed	src_zhang2025clinifact	acc_682df5779b17	ag_69a40b55ab5a	1	stable_url	pilot_backfill_v1	stable_url	1	Seeded from existing source_access row; not a full resolver-ranked candidate.		source_access.tsv			local_file_check			4a4f473bdc46	true	0			csv	9921908	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	data/derived/corpus_candidates/candidate_d_n_papers.csv	dataset_file	local_file_found			false	false	false		unknown	true	not_checked	unknown				needs_review	Pilot backfill did not rerun candidate identity scoring.	existing_local_file		preexisting_pipeline_or_unknown	manual_review	Bytes exist but level-5 eligibility is not yet established.	needs_review	classify_source_object	Generated from source_access rows for the 300-row pilot; future resolver runs should add one row per candidate route.
att_809d7599e19e	src_masur2025privacy	acc_fbfe56d3b9e1	ag_9c31c25f0c8b	1	stable_url	pilot_backfill_v1	stable_url	1	Seeded from existing source_access row; not a full resolver-ranked candidate.		source_access.tsv			local_file_check			69ec347fb4a1	true	0			csv	1085788	b98d3ef8c13cb1f7f01832761e17adafaa01728d2e50d839d07afbd6bb841eef	data/derived/effect_inflation_dataset/plot1_replication_pair_details.csv	dataset_file	local_file_found			false	false	false		unknown	true	not_checked	unknown				needs_review	Pilot backfill did not rerun candidate identity scoring.	existing_local_file		preexisting_pipeline_or_unknown	manual_review	Bytes exist but level-5 eligibility is not yet established.	needs_review	classify_source_object	Generated from source_access rows for the 300-row pilot; future resolver runs should add one row per candidate route.
